## k = 0.791
Start
Loading from ./SCRATCH/checkpoints/cifar_conv4_pool_relu_right2-09m-23d-04h-15m-14s.pkl
Loading Data
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_1
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_2
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_3
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_4
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_5
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/test_batch
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_1
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_2
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_3
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_4
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/data_batch_5
loading file /var/research/Databases/pylearn2_data/cifar10/cifar-10-batches-py/test_batch
Trainig Model
./FINETUNE
Saving model checkpoint to: ./FINETUNE/checkpoints/cifar10_conv4_pool_relu_larger_finetune-09m-23d-16h-20m-16s.pkl
*0, train error: 0.93750, time: 1.54
0, train error: 0.93750, time: 1.54
&1, test error: 0.93750, time: 0.48
10, train error: 0.89062, time: 1.62
20, train error: 0.85234, time: 1.59
30, train error: 0.86328, time: 1.56
40, train error: 0.85781, time: 1.60
*50, train error: 0.85281, time: 1.59
50, train error: 0.80000, time: 1.59
&51, test error: 0.87500, time: 0.53
60, train error: 0.81172, time: 1.59
70, train error: 0.78750, time: 1.59
80, train error: 0.79375, time: 1.57
90, train error: 0.83047, time: 1.59
*100, train error: 0.80922, time: 1.59
100, train error: 0.82266, time: 1.59
&101, test error: 0.82031, time: 0.77
110, train error: 0.78359, time: 1.59
120, train error: 0.77109, time: 1.59
130, train error: 0.78047, time: 1.57
140, train error: 0.78828, time: 1.58
*150, train error: 0.78922, time: 1.58
150, train error: 0.82266, time: 1.57
&151, test error: 0.85156, time: 0.57
160, train error: 0.79375, time: 1.57
170, train error: 0.77969, time: 1.58
180, train error: 0.79375, time: 1.58
190, train error: 0.78594, time: 1.58
*200, train error: 0.78266, time: 1.58
200, train error: 0.76016, time: 1.57
&201, test error: 0.74219, time: 0.53
210, train error: 0.75781, time: 1.58
220, train error: 0.74062, time: 1.58
230, train error: 0.76016, time: 1.57
240, train error: 0.74844, time: 1.57
*250, train error: 0.74938, time: 1.58
250, train error: 0.73984, time: 1.58
&251, test error: 0.78906, time: 0.56
260, train error: 0.77734, time: 1.57
270, train error: 0.75391, time: 1.58
280, train error: 0.75938, time: 1.58
290, train error: 0.73594, time: 1.58
*300, train error: 0.75516, time: 1.58
300, train error: 0.74922, time: 1.59
&301, test error: 0.78125, time: 0.48
310, train error: 0.75469, time: 1.59
320, train error: 0.75234, time: 1.60
330, train error: 0.75703, time: 1.58
340, train error: 0.72578, time: 1.56
*350, train error: 0.74484, time: 1.58
350, train error: 0.73438, time: 1.57
&351, test error: 0.79688, time: 0.73
360, train error: 0.75703, time: 1.59
370, train error: 0.75391, time: 1.58
380, train error: 0.72500, time: 1.60
390, train error: 0.73281, time: 1.65
*400, train error: 0.73891, time: 1.60
