## k = 0.200
## k = 0.200
Start
Loading Data
Training Model
./
Saving model checkpoint to: ./checkpoints/xxx-10m-07d-14h-00m-23s.pkl
*0, train error: 0.90625, time: 0.27
0, train error: 0.90625, time: 0.27
&1, test error: 0.85156, time: 0.35
10, train error: 0.89687, time: 0.27
20, train error: 0.89844, time: 0.27
30, train error: 0.89766, time: 0.27
40, train error: 0.88906, time: 0.27
*50, train error: 0.89750, time: 0.27
50, train error: 0.90547, time: 0.27
&51, test error: 0.89844, time: 0.35
60, train error: 0.90391, time: 0.27
70, train error: 0.89687, time: 0.27
80, train error: 0.90547, time: 0.27
90, train error: 0.90547, time: 0.27
*100, train error: 0.90500, time: 0.27
100, train error: 0.91328, time: 0.27
&101, test error: 0.88281, time: 0.35
110, train error: 0.88750, time: 0.27
120, train error: 0.91250, time: 0.27
130, train error: 0.89687, time: 0.27
140, train error: 0.90234, time: 0.27
*150, train error: 0.90234, time: 0.27
150, train error: 0.91250, time: 0.27
&151, test error: 0.91406, time: 0.36
160, train error: 0.88984, time: 0.27
170, train error: 0.89844, time: 0.27
180, train error: 0.91094, time: 0.27
190, train error: 0.89766, time: 0.27
*200, train error: 0.89328, time: 0.27
200, train error: 0.86953, time: 0.27
&201, test error: 0.85156, time: 0.36
210, train error: 0.88984, time: 0.27
220, train error: 0.90234, time: 0.27
230, train error: 0.90156, time: 0.27
240, train error: 0.90156, time: 0.27
*250, train error: 0.89719, time: 0.27
250, train error: 0.89062, time: 0.27
&251, test error: 0.87500, time: 0.35
260, train error: 0.88672, time: 0.27
270, train error: 0.90078, time: 0.27
280, train error: 0.89453, time: 0.27
290, train error: 0.89844, time: 0.27
*300, train error: 0.89719, time: 0.27
300, train error: 0.90547, time: 0.27
&301, test error: 0.89062, time: 0.35
310, train error: 0.89766, time: 0.27
320, train error: 0.89453, time: 0.27
330, train error: 0.88672, time: 0.27
340, train error: 0.89609, time: 0.27
*350, train error: 0.89281, time: 0.27
350, train error: 0.88906, time: 0.27
&351, test error: 0.94531, time: 0.36
360, train error: 0.89844, time: 0.27
370, train error: 0.90234, time: 0.27
380, train error: 0.89531, time: 0.27
390, train error: 0.89453, time: 0.27
*400, train error: 0.90000, time: 0.27
400, train error: 0.90938, time: 0.27
&401, test error: 0.92969, time: 0.35
410, train error: 0.89453, time: 0.27
420, train error: 0.89687, time: 0.27
430, train error: 0.89375, time: 0.27
440, train error: 0.88906, time: 0.27
*450, train error: 0.89312, time: 0.27
450, train error: 0.89141, time: 0.27
&451, test error: 0.88281, time: 0.35
460, train error: 0.89141, time: 0.27
470, train error: 0.88672, time: 0.27
480, train error: 0.91094, time: 0.27
490, train error: 0.89219, time: 0.27
*500, train error: 0.89594, time: 0.27
500, train error: 0.89844, time: 0.27
&501, test error: 0.86719, time: 0.35
510, train error: 0.90469, time: 0.27
520, train error: 0.88359, time: 0.27
530, train error: 0.90000, time: 0.28
540, train error: 0.89141, time: 0.27
*550, train error: 0.89594, time: 0.27
550, train error: 0.90000, time: 0.27
&551, test error: 0.91406, time: 0.35
560, train error: 0.90234, time: 0.27
570, train error: 0.87422, time: 0.27
580, train error: 0.89375, time: 0.27
590, train error: 0.90781, time: 0.27
*600, train error: 0.89547, time: 0.27
600, train error: 0.89922, time: 0.27
&601, test error: 0.91406, time: 0.35
610, train error: 0.89531, time: 0.27
620, train error: 0.88125, time: 0.27
630, train error: 0.89687, time: 0.27
640, train error: 0.91250, time: 0.27
*650, train error: 0.89516, time: 0.27
650, train error: 0.88984, time: 0.27
&651, test error: 0.89062, time: 0.35
660, train error: 0.90547, time: 0.27
670, train error: 0.90156, time: 0.27
680, train error: 0.88594, time: 0.27
690, train error: 0.89141, time: 0.27
*700, train error: 0.89687, time: 0.27
700, train error: 0.90000, time: 0.28
&701, test error: 0.84375, time: 0.36
710, train error: 0.90078, time: 0.27
720, train error: 0.87578, time: 0.27
730, train error: 0.90859, time: 0.27
740, train error: 0.89375, time: 0.27
*750, train error: 0.89234, time: 0.27
750, train error: 0.88281, time: 0.27
&751, test error: 0.92969, time: 0.35
760, train error: 0.90078, time: 0.27
