## k = 0.462
## k = 0.398
(48, 96, 96, 128)
(48, 96, 96, 128)
(16, 96, 96, 128)
Start
PID: 30695
Loading Data
Training Model
./
Saving model checkpoint to: ./checkpoints/experiment-11m-09d-17h-12m-24s.pkl
*0, train error: 53.97617, time: 1.80
0, train error: 53.97617, time: 1.80
10, train error: 53.66903, time: 1.85
20, train error: 43.13763, time: 1.80
30, train error: 21.86967, time: 1.80
40, train error: 16.21834, time: 1.80
*50, train error: 29.80081, time: 1.81
50, train error: 14.10938, time: 1.80
60, train error: 13.48458, time: 1.80
70, train error: 13.21154, time: 1.90
80, train error: 12.79422, time: 1.80
90, train error: 12.86968, time: 1.80
*100, train error: 12.98778, time: 1.82
100, train error: 12.57888, time: 1.80
110, train error: 12.67920, time: 1.80
120, train error: 12.18728, time: 1.81
130, train error: 12.06514, time: 1.86
140, train error: 11.63251, time: 2.02
*150, train error: 11.94667, time: 1.89
150, train error: 11.16922, time: 1.94
160, train error: 10.59413, time: 1.84
170, train error: 9.80765, time: 1.84
180, train error: 9.79705, time: 1.94
190, train error: 9.65853, time: 1.94
./
Saving model checkpoint to: ./checkpoints/experiment-11m-09d-17h-18m-41s.pkl
*200, train error: 9.84422, time: 1.90
200, train error: 9.36374, time: 1.92
210, train error: 9.42409, time: 1.96
220, train error: 9.12823, time: 1.85
230, train error: 9.01963, time: 1.94
240, train error: 8.83266, time: 1.84
*250, train error: 9.05073, time: 1.91
250, train error: 8.84906, time: 1.94
260, train error: 8.71035, time: 1.94
270, train error: 8.51672, time: 1.94
280, train error: 8.66105, time: 1.94
290, train error: 8.44683, time: 1.94
*300, train error: 8.53350, time: 1.95
300, train error: 8.33255, time: 1.97
310, train error: 8.32899, time: 1.92
320, train error: 8.23274, time: 1.94
330, train error: 8.12396, time: 1.94
340, train error: 8.14162, time: 2.02
*350, train error: 8.16939, time: 1.94
350, train error: 8.01962, time: 1.87
360, train error: 7.93559, time: 1.84
370, train error: 7.87448, time: 1.84
380, train error: 7.79142, time: 1.84
390, train error: 7.72058, time: 1.84
./
Saving model checkpoint to: ./checkpoints/experiment-11m-09d-17h-25m-11s.pkl
*400, train error: 7.81259, time: 1.87
400, train error: 7.74088, time: 2.00
410, train error: 7.54027, time: 1.87
420, train error: 7.52480, time: 1.94
430, train error: 7.41162, time: 1.85
440, train error: 7.32803, time: 1.84
*450, train error: 7.43790, time: 1.87
450, train error: 7.38480, time: 1.84
460, train error: 7.30886, time: 1.94
470, train error: 7.27567, time: 1.84
480, train error: 7.34841, time: 1.84
490, train error: 7.27565, time: 1.97
*500, train error: 7.28928, time: 1.92
500, train error: 7.23782, time: 2.02
510, train error: 7.32160, time: 1.95
520, train error: 7.16492, time: 2.03
530, train error: 7.18786, time: 1.90
540, train error: 7.20463, time: 1.80
*550, train error: 7.20887, time: 1.90
550, train error: 7.16534, time: 1.82
560, train error: 7.17387, time: 1.88
570, train error: 7.10851, time: 1.80
580, train error: 7.15513, time: 1.80
590, train error: 7.15299, time: 1.59
./
Saving model checkpoint to: ./checkpoints/experiment-11m-09d-17h-31m-24s.pkl
*600, train error: 7.12962, time: 1.63
600, train error: 7.05761, time: 1.10
610, train error: 7.08394, time: 1.38
620, train error: 7.11461, time: 1.98
630, train error: 7.03990, time: 1.98
640, train error: 7.07142, time: 1.97
*650, train error: 7.07387, time: 1.86
650, train error: 7.05951, time: 1.98
660, train error: 7.11939, time: 1.98
670, train error: 7.07811, time: 1.98
680, train error: 7.02918, time: 1.98
690, train error: 7.06707, time: 1.97
*700, train error: 7.05774, time: 1.98
700, train error: 6.99494, time: 1.98
710, train error: 7.07542, time: 1.98
720, train error: 6.96148, time: 1.98
730, train error: 6.94289, time: 1.98
740, train error: 7.03808, time: 1.98
*750, train error: 7.00793, time: 1.98
750, train error: 7.02181, time: 1.98
760, train error: 6.95891, time: 1.98
770, train error: 6.98211, time: 1.98
780, train error: 7.00007, time: 1.98
790, train error: 6.91873, time: 1.98
./
Saving model checkpoint to: ./checkpoints/experiment-11m-09d-17h-38m-00s.pkl
*800, train error: 6.97155, time: 1.98
800, train error: 6.99794, time: 1.97
810, train error: 6.92260, time: 1.97
820, train error: 7.03758, time: 1.98
830, train error: 6.92452, time: 1.98
840, train error: 6.95467, time: 1.98
*850, train error: 6.97247, time: 1.98
850, train error: 7.02298, time: 2.00
860, train error: 6.98001, time: 1.98
870, train error: 7.07676, time: 1.98
880, train error: 6.92546, time: 1.97
890, train error: 6.92742, time: 1.98
*900, train error: 6.96454, time: 1.99
900, train error: 6.91303, time: 2.01
910, train error: 6.91219, time: 1.97
920, train error: 6.90066, time: 1.98
930, train error: 6.97747, time: 1.97
940, train error: 7.09070, time: 2.00
*950, train error: 6.96334, time: 1.98
950, train error: 6.93568, time: 1.98
960, train error: 6.98328, time: 1.98
970, train error: 7.02511, time: 2.00
980, train error: 7.09889, time: 2.02
990, train error: 7.06268, time: 1.98
./
Saving model checkpoint to: ./checkpoints/experiment-11m-09d-17h-44m-43s.pkl
*1000, train error: 7.07473, time: 1.99
1000, train error: 7.20372, time: 1.96
1010, train error: 7.12097, time: 1.97
1020, train error: 6.98512, time: 1.98
1030, train error: 6.90457, time: 1.98
1040, train error: 6.97236, time: 2.00
*1050, train error: 6.97833, time: 1.99
