## k = 1.195
## k = 0.536
(48, 96, 96, 128)
(48, 96, 96, 128)
(48, 96, 96, 128)
(48, 96, 96, 128)
(16, 96, 96, 128)
Start
PID: 14094
Loading Data
Training Model
./
Saving model checkpoint to: ./checkpoints/experiment-11m-12d-13h-05m-48s.pkl
*0, train error: 125.04671, time: 2.36
0, train error: 125.04671, time: 2.36
10, train error: 125.26186, time: 2.14
20, train error: 122.72234, time: 2.14
30, train error: 99.62319, time: 2.14
40, train error: 52.00683, time: 2.15
*50, train error: 88.79243, time: 2.15
50, train error: 44.34785, time: 2.18
60, train error: 39.59669, time: 2.19
70, train error: 37.58376, time: 2.20
80, train error: 36.18275, time: 2.18
90, train error: 36.20070, time: 2.18
*100, train error: 37.01528, time: 2.19
100, train error: 35.51251, time: 2.21
110, train error: 35.90431, time: 2.18
120, train error: 34.86597, time: 2.19
130, train error: 35.14548, time: 2.18
140, train error: 34.83157, time: 2.18
*150, train error: 35.12163, time: 2.18
150, train error: 34.86084, time: 2.18
160, train error: 35.14572, time: 2.18
170, train error: 34.11415, time: 2.18
180, train error: 34.41882, time: 2.18
190, train error: 34.34758, time: 2.17
./
Saving model checkpoint to: ./checkpoints/experiment-11m-12d-13h-13m-09s.pkl
*200, train error: 34.30922, time: 2.18
200, train error: 33.51980, time: 2.19
210, train error: 33.87756, time: 2.18
220, train error: 33.49377, time: 2.19
230, train error: 33.39659, time: 2.18
240, train error: 32.47891, time: 2.18
*250, train error: 33.20302, time: 2.18
250, train error: 32.76827, time: 2.19
260, train error: 32.48052, time: 2.18
270, train error: 32.27875, time: 2.19
280, train error: 32.23620, time: 2.19
290, train error: 31.95119, time: 2.18
*300, train error: 32.09800, time: 2.19
300, train error: 31.54332, time: 2.18
310, train error: 31.39223, time: 2.18
320, train error: 30.85445, time: 2.18
330, train error: 30.40426, time: 2.18
340, train error: 30.40147, time: 2.18
*350, train error: 30.52672, time: 2.18
350, train error: 29.58117, time: 2.19
360, train error: 29.06704, time: 2.19
370, train error: 28.66257, time: 2.18
380, train error: 27.53829, time: 2.19
390, train error: 26.94474, time: 2.18
./
Saving model checkpoint to: ./checkpoints/experiment-11m-12d-13h-20m-33s.pkl
*400, train error: 27.75135, time: 2.18
400, train error: 26.54411, time: 2.18
410, train error: 25.73734, time: 2.19
420, train error: 25.60722, time: 2.18
430, train error: 25.30368, time: 2.18
440, train error: 24.94366, time: 2.18
*450, train error: 25.30667, time: 2.19
450, train error: 24.94147, time: 2.19
460, train error: 24.68538, time: 2.19
470, train error: 24.51925, time: 2.18
480, train error: 25.84118, time: 2.18
490, train error: 25.46488, time: 2.18
*500, train error: 25.04329, time: 2.18
500, train error: 24.70575, time: 2.18
510, train error: 24.58340, time: 2.18
520, train error: 24.38668, time: 2.19
530, train error: 24.15275, time: 2.18
540, train error: 24.72008, time: 2.18
*550, train error: 24.39506, time: 2.18
550, train error: 24.13240, time: 2.18
560, train error: 24.64947, time: 2.19
570, train error: 23.61436, time: 2.18
580, train error: 23.59692, time: 2.18
590, train error: 24.76416, time: 2.18
./
Saving model checkpoint to: ./checkpoints/experiment-11m-12d-13h-27m-56s.pkl
*600, train error: 24.14912, time: 2.18
600, train error: 24.12074, time: 2.19
610, train error: 24.82929, time: 2.18
620, train error: 24.20517, time: 2.18
630, train error: 23.49415, time: 2.19
640, train error: 23.79266, time: 2.19
*650, train error: 23.98077, time: 2.18
650, train error: 23.58259, time: 2.19
660, train error: 23.63615, time: 2.18
670, train error: 23.61653, time: 2.18
680, train error: 23.27997, time: 2.18
690, train error: 23.75798, time: 2.18
*700, train error: 23.45242, time: 2.18
700, train error: 22.97147, time: 2.18
710, train error: 22.81610, time: 2.19
720, train error: 23.52169, time: 2.18
730, train error: 22.86139, time: 2.18
740, train error: 22.90965, time: 2.18
*750, train error: 22.98716, time: 2.18
750, train error: 22.82697, time: 2.18
760, train error: 22.29473, time: 2.19
770, train error: 22.31641, time: 2.18
780, train error: 22.80147, time: 2.18
790, train error: 22.87454, time: 2.19
./
Saving model checkpoint to: ./checkpoints/experiment-11m-12d-13h-35m-19s.pkl
*800, train error: 22.54107, time: 2.18
800, train error: 22.41822, time: 2.18
810, train error: 21.82534, time: 2.18
820, train error: 22.23729, time: 2.19
830, train error: 21.56229, time: 2.18
840, train error: 22.64173, time: 2.19
*850, train error: 22.02474, time: 2.19
850, train error: 21.85706, time: 2.18
860, train error: 21.79545, time: 2.18
870, train error: 21.89165, time: 2.19
880, train error: 22.63830, time: 2.19
890, train error: 22.32350, time: 2.19
*900, train error: 22.16781, time: 2.18
900, train error: 22.19017, time: 2.18
910, train error: 21.89988, time: 2.18
920, train error: 21.42105, time: 2.18
930, train error: 21.26934, time: 2.18
940, train error: 21.58741, time: 2.18
*950, train error: 21.47935, time: 2.18
950, train error: 21.21906, time: 2.18
960, train error: 22.10600, time: 2.18
970, train error: 22.30971, time: 2.18
980, train error: 21.81433, time: 2.18
990, train error: 21.35024, time: 2.18
./
Saving model checkpoint to: ./checkpoints/experiment-11m-12d-13h-42m-42s.pkl
*1000, train error: 21.72255, time: 2.18
1000, train error: 21.03249, time: 2.18
1010, train error: 21.00997, time: 2.18
1020, train error: 20.83448, time: 2.18
1030, train error: 21.17084, time: 2.19
1040, train error: 20.84142, time: 2.18
*1050, train error: 20.89752, time: 2.18
1050, train error: 20.63088, time: 2.19
1060, train error: 20.72186, time: 2.18
1070, train error: 21.88617, time: 2.18
1080, train error: 21.04353, time: 2.18
1090, train error: 20.93366, time: 2.18
*1100, train error: 21.07788, time: 2.18
1100, train error: 20.80418, time: 2.18
1110, train error: 21.11814, time: 2.18
1120, train error: 20.81088, time: 2.18
1130, train error: 20.94506, time: 2.18
1140, train error: 20.57799, time: 2.19
*1150, train error: 20.77068, time: 2.18
1150, train error: 20.40135, time: 2.18
1160, train error: 21.26219, time: 2.18
1170, train error: 21.16287, time: 2.18
1180, train error: 20.88551, time: 2.18
1190, train error: 20.76102, time: 2.18
./
Saving model checkpoint to: ./checkpoints/experiment-11m-12d-13h-50m-05s.pkl
*1200, train error: 20.92092, time: 2.18
1200, train error: 20.53299, time: 2.19
1210, train error: 19.98157, time: 2.18
1220, train error: 20.31193, time: 2.18
1230, train error: 19.86490, time: 2.18
1240, train error: 20.08127, time: 2.18
*1250, train error: 20.21403, time: 2.18
1250, train error: 20.83047, time: 2.18
1260, train error: 21.19646, time: 2.18
1270, train error: 21.28073, time: 2.18
1280, train error: 20.40751, time: 2.18
1290, train error: 20.18546, time: 2.18
*1300, train error: 20.56183, time: 2.18
1300, train error: 19.73903, time: 2.18
1310, train error: 19.93559, time: 2.18
1320, train error: 19.95550, time: 2.18
1330, train error: 20.45321, time: 2.18
1340, train error: 20.03446, time: 2.18
*1350, train error: 20.09429, time: 2.18
1350, train error: 20.09269, time: 2.18
1360, train error: 20.04147, time: 2.18
1370, train error: 19.72515, time: 2.18
1380, train error: 19.98005, time: 2.19
1390, train error: 19.94379, time: 2.18
./
Saving model checkpoint to: ./checkpoints/experiment-11m-12d-13h-57m-28s.pkl
*1400, train error: 20.15313, time: 2.18
1400, train error: 21.07520, time: 2.18
1410, train error: 20.22719, time: 2.18
1420, train error: 19.75650, time: 2.19
1430, train error: 19.58669, time: 2.18
1440, train error: 19.45384, time: 2.18
*1450, train error: 19.74037, time: 2.18
1450, train error: 19.67764, time: 2.18
1460, train error: 20.00519, time: 2.18
1470, train error: 20.75343, time: 2.18
1480, train error: 20.19367, time: 2.18
1490, train error: 20.05239, time: 2.18
*1500, train error: 20.19008, time: 2.18
1500, train error: 19.94571, time: 2.18
1510, train error: 19.63992, time: 2.18
1520, train error: 19.39724, time: 2.18
1530, train error: 19.39128, time: 2.18
1540, train error: 19.48378, time: 2.18
*1550, train error: 19.49620, time: 2.18
1550, train error: 19.56878, time: 2.18
1560, train error: 19.72706, time: 2.17
1570, train error: 19.41063, time: 2.18
1580, train error: 19.60892, time: 2.19
1590, train error: 19.58969, time: 2.18
./
Saving model checkpoint to: ./checkpoints/experiment-11m-12d-14h-04m-50s.pkl
*1600, train error: 19.59287, time: 2.18
1600, train error: 19.62804, time: 2.18
1610, train error: 19.66319, time: 2.18
1620, train error: 19.70281, time: 2.18
1630, train error: 19.76339, time: 2.18
1640, train error: 19.40310, time: 2.18
*1650, train error: 19.59773, time: 2.18
1650, train error: 19.45618, time: 2.18
1660, train error: 19.33788, time: 2.19
1670, train error: 19.29192, time: 2.19
1680, train error: 19.21726, time: 2.19
1690, train error: 20.04981, time: 2.18
*1700, train error: 19.50937, time: 2.18
1700, train error: 19.65000, time: 2.18
1710, train error: 19.35840, time: 2.18
1720, train error: 19.14804, time: 2.18
1730, train error: 19.07899, time: 2.18
1740, train error: 19.04968, time: 2.19
*1750, train error: 19.20084, time: 2.18
1750, train error: 19.36908, time: 2.19
1760, train error: 19.16039, time: 2.19
1770, train error: 19.13903, time: 2.18
1780, train error: 19.09856, time: 2.18
1790, train error: 19.14009, time: 2.19
./
Saving model checkpoint to: ./checkpoints/experiment-11m-12d-14h-12m-13s.pkl
*1800, train error: 19.14330, time: 2.18
1800, train error: 19.17845, time: 2.19
1810, train error: 19.44332, time: 2.18
1820, train error: 19.23313, time: 2.18
1830, train error: 19.10254, time: 2.18
1840, train error: 18.91240, time: 2.18
*1850, train error: 19.21387, time: 2.18
1850, train error: 19.37797, time: 2.18
1860, train error: 18.82994, time: 2.18
1870, train error: 18.85040, time: 2.18
1880, train error: 18.96334, time: 2.19
1890, train error: 19.51554, time: 2.18
*1900, train error: 19.17011, time: 2.18
1900, train error: 19.69134, time: 2.19
1910, train error: 19.13408, time: 2.18
1920, train error: 18.85288, time: 2.19
1930, train error: 18.68180, time: 2.18
1940, train error: 18.84447, time: 2.18
*1950, train error: 18.85979, time: 2.18
1950, train error: 18.78570, time: 2.18
1960, train error: 18.77129, time: 2.18
1970, train error: 18.89200, time: 2.18
1980, train error: 19.33979, time: 2.18
1990, train error: 18.72154, time: 2.18
./
Saving model checkpoint to: ./checkpoints/experiment-11m-12d-14h-19m-36s.pkl
*2000, train error: 18.92938, time: 2.18
2000, train error: 18.92228, time: 2.18
2010, train error: 18.51197, time: 2.19
2020, train error: 18.97038, time: 2.18
2030, train error: 18.85296, time: 2.18
2040, train error: 18.67529, time: 2.18
*2050, train error: 18.78469, time: 2.18
2050, train error: 18.91281, time: 2.18
2060, train error: 18.48139, time: 2.18
2070, train error: 19.12203, time: 2.18
2080, train error: 18.61213, time: 2.18
2090, train error: 19.25396, time: 2.18
*2100, train error: 18.93823, time: 2.18
2100, train error: 19.22163, time: 2.18
