## k = 0.843
## k = 0.861
(96, 96, 96, 128)
(96, 96, 96, 128)
(16, 96, 96, 128)
Start
PID: 8896
Loading Data
Training Model
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-10h-40m-04s.pkl
*0, train error: 121.42662, time: 3.48
0, train error: 121.42662, time: 3.48
10, train error: 86.16060, time: 3.64
20, train error: 81.02174, time: 3.98
30, train error: 77.40822, time: 3.84
40, train error: 77.30002, time: 3.91
*50, train error: 79.62071, time: 3.84
50, train error: 76.21303, time: 3.84
60, train error: 76.39418, time: 3.96
70, train error: 75.49341, time: 4.12
80, train error: 75.48183, time: 3.99
90, train error: 75.77309, time: 4.08
*100, train error: 75.71207, time: 4.08
100, train error: 75.41792, time: 4.25
110, train error: 75.77544, time: 4.17
120, train error: 76.19939, time: 4.13
130, train error: 75.87814, time: 4.05
140, train error: 68.21392, time: 4.00
*150, train error: 66.97787, time: 4.10
150, train error: 38.82255, time: 4.13
160, train error: 35.12734, time: 4.15
170, train error: 25.95538, time: 3.95
180, train error: 23.93922, time: 4.09
190, train error: 23.00379, time: 4.13
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-10h-53m-36s.pkl
*200, train error: 26.00631, time: 4.08
200, train error: 22.00581, time: 4.07
210, train error: 22.20016, time: 4.21
220, train error: 22.00413, time: 4.16
230, train error: 21.68368, time: 4.09
240, train error: 20.77759, time: 4.19
*250, train error: 21.52316, time: 4.17
250, train error: 20.95021, time: 4.21
260, train error: 21.02659, time: 4.30
270, train error: 19.97673, time: 4.12
280, train error: 20.32142, time: 4.20
290, train error: 20.39939, time: 4.18
*300, train error: 20.54162, time: 4.18
300, train error: 20.98399, time: 4.11
310, train error: 20.17881, time: 3.91
320, train error: 19.84240, time: 4.02
330, train error: 19.34921, time: 4.14
340, train error: 19.70017, time: 4.20
*350, train error: 19.63799, time: 4.10
350, train error: 19.11936, time: 4.21
360, train error: 19.35386, time: 4.21
370, train error: 19.35866, time: 4.19
380, train error: 19.21923, time: 4.00
390, train error: 18.90103, time: 4.05
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-11h-07m-32s.pkl
*400, train error: 19.28424, time: 4.12
400, train error: 19.58844, time: 4.18
410, train error: 19.22106, time: 4.13
420, train error: 19.24311, time: 4.14
430, train error: 19.14367, time: 4.00
440, train error: 18.86586, time: 4.10
*450, train error: 19.02944, time: 4.11
450, train error: 18.67351, time: 4.20
460, train error: 18.53406, time: 4.13
470, train error: 18.37338, time: 4.25
480, train error: 18.58249, time: 4.17
490, train error: 18.34511, time: 4.17
*500, train error: 18.41384, time: 4.22
500, train error: 18.23415, time: 4.35
510, train error: 18.51522, time: 4.13
520, train error: 18.44538, time: 4.07
530, train error: 18.24899, time: 4.01
540, train error: 18.32403, time: 4.02
*550, train error: 18.38640, time: 4.07
550, train error: 18.39840, time: 4.14
560, train error: 18.55819, time: 3.92
570, train error: 18.02073, time: 4.05
580, train error: 18.05373, time: 4.06
590, train error: 18.06718, time: 4.16
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-11h-21m-22s.pkl
*600, train error: 18.13006, time: 4.07
600, train error: 17.95050, time: 4.15
610, train error: 17.95630, time: 3.93
620, train error: 17.92107, time: 4.11
630, train error: 18.22434, time: 3.91
640, train error: 18.25477, time: 4.02
*650, train error: 18.09614, time: 3.99
650, train error: 18.12421, time: 3.98
660, train error: 18.14429, time: 4.23
670, train error: 17.83594, time: 4.05
680, train error: 17.69952, time: 3.93
690, train error: 18.21935, time: 4.01
*700, train error: 17.89532, time: 4.02
700, train error: 17.57749, time: 3.88
710, train error: 17.59163, time: 3.91
720, train error: 17.70065, time: 4.03
730, train error: 17.24194, time: 3.98
740, train error: 17.66843, time: 4.06
*750, train error: 17.57446, time: 3.99
750, train error: 17.66964, time: 3.98
760, train error: 17.58492, time: 4.11
770, train error: 17.46268, time: 3.88
780, train error: 17.55791, time: 4.05
790, train error: 17.53850, time: 4.22
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-11h-34m-52s.pkl
*800, train error: 17.52516, time: 4.05
800, train error: 17.48179, time: 4.01
810, train error: 17.27016, time: 3.97
820, train error: 17.82845, time: 4.02
830, train error: 17.48738, time: 4.03
840, train error: 17.35765, time: 3.99
*850, train error: 17.42975, time: 4.03
850, train error: 17.20509, time: 4.15
860, train error: 17.13385, time: 4.19
870, train error: 17.33466, time: 4.14
880, train error: 17.33783, time: 4.01
890, train error: 17.43107, time: 4.03
*900, train error: 17.32360, time: 4.10
900, train error: 17.38059, time: 4.15
910, train error: 17.20993, time: 4.16
920, train error: 17.21760, time: 4.27
930, train error: 17.22353, time: 4.09
940, train error: 17.43374, time: 4.24
*950, train error: 17.23023, time: 4.20
950, train error: 17.06636, time: 4.22
960, train error: 17.23891, time: 4.18
970, train error: 17.36565, time: 4.15
980, train error: 17.23574, time: 4.17
990, train error: 17.26867, time: 4.24
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-11h-48m-43s.pkl
*1000, train error: 17.33357, time: 4.15
1000, train error: 17.55887, time: 3.99
1010, train error: 17.29976, time: 4.24
1020, train error: 16.99461, time: 4.32
1030, train error: 16.99569, time: 4.15
1040, train error: 17.07993, time: 4.17
*1050, train error: 17.09992, time: 4.19
1050, train error: 17.12958, time: 4.06
1060, train error: 17.07245, time: 4.24
1070, train error: 17.02975, time: 4.27
1080, train error: 16.71540, time: 4.25
1090, train error: 17.01061, time: 4.18
*1100, train error: 16.96762, time: 4.22
1100, train error: 17.00986, time: 4.14
1110, train error: 17.08367, time: 4.15
1120, train error: 17.02607, time: 4.23
1130, train error: 17.25332, time: 4.24
1140, train error: 17.45970, time: 4.09
*1150, train error: 17.24920, time: 4.17
1150, train error: 17.42324, time: 4.17
