## k = 0.715
## k = 1.046
(96, 96, 96, 128)
(96, 96, 96, 128)
(16, 96, 96, 128)
Start
PID: 11715
Loading Data
Training Model
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-11h-28m-12s.pkl
*0, train error: 121.95949, time: 2.16
0, train error: 121.95949, time: 2.16
10, train error: 77.81762, time: 2.11
20, train error: 51.01645, time: 2.13
30, train error: 40.32023, time: 2.18
40, train error: 33.07404, time: 2.15
*50, train error: 46.42703, time: 2.15
50, train error: 29.90685, time: 2.17
60, train error: 28.49407, time: 2.16
70, train error: 26.90529, time: 2.18
80, train error: 25.43964, time: 2.18
90, train error: 24.90121, time: 2.18
*100, train error: 26.01511, time: 2.18
100, train error: 24.33537, time: 2.19
110, train error: 24.85760, time: 2.18
120, train error: 25.29174, time: 2.20
130, train error: 24.67739, time: 2.17
140, train error: 24.26875, time: 2.18
*150, train error: 24.57176, time: 2.18
150, train error: 23.76333, time: 2.18
160, train error: 24.11238, time: 2.20
170, train error: 22.65626, time: 2.19
180, train error: 25.00827, time: 2.19
190, train error: 24.05720, time: 2.20
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-11h-35m-34s.pkl
*200, train error: 24.03906, time: 2.19
200, train error: 24.36116, time: 2.19
210, train error: 23.80207, time: 2.22
220, train error: 22.72583, time: 2.21
230, train error: 24.50248, time: 2.22
240, train error: 22.68932, time: 2.21
*250, train error: 23.41629, time: 2.21
250, train error: 23.36179, time: 2.18
260, train error: 23.37745, time: 2.21
270, train error: 22.27601, time: 2.21
280, train error: 23.68549, time: 2.19
290, train error: 22.71948, time: 2.19
*300, train error: 23.08634, time: 2.20
300, train error: 23.37327, time: 2.18
310, train error: 22.35677, time: 2.18
320, train error: 21.73863, time: 2.19
330, train error: 22.61888, time: 2.22
340, train error: 21.97386, time: 2.18
*350, train error: 21.97708, time: 2.20
350, train error: 21.19728, time: 2.20
360, train error: 22.19928, time: 2.17
370, train error: 21.42609, time: 2.19
380, train error: 22.09702, time: 2.20
390, train error: 21.10641, time: 2.20
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-11h-43m-01s.pkl
*400, train error: 21.56465, time: 2.19
400, train error: 20.99445, time: 2.20
410, train error: 20.76577, time: 2.22
420, train error: 21.26235, time: 2.17
430, train error: 20.68398, time: 2.20
440, train error: 20.44654, time: 2.19
*450, train error: 20.68714, time: 2.19
450, train error: 20.27705, time: 2.18
460, train error: 19.59306, time: 2.19
470, train error: 20.23186, time: 2.21
480, train error: 20.99337, time: 2.20
490, train error: 20.19333, time: 2.19
*500, train error: 20.10334, time: 2.19
500, train error: 19.50508, time: 2.18
510, train error: 19.82174, time: 2.18
520, train error: 19.74253, time: 2.18
530, train error: 19.48082, time: 2.21
540, train error: 19.29951, time: 2.19
*550, train error: 19.61446, time: 2.19
550, train error: 19.72772, time: 2.20
560, train error: 19.97998, time: 2.20
570, train error: 19.21232, time: 2.19
580, train error: 19.74109, time: 2.20
590, train error: 19.40806, time: 2.19
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-11h-50m-26s.pkl
*600, train error: 19.48703, time: 2.19
600, train error: 19.09368, time: 2.18
610, train error: 19.39551, time: 2.19
620, train error: 19.48177, time: 2.19
630, train error: 19.17946, time: 2.24
640, train error: 19.11950, time: 2.22
*650, train error: 19.29008, time: 2.21
650, train error: 19.27415, time: 2.21
660, train error: 19.58050, time: 2.17
670, train error: 19.28004, time: 2.19
680, train error: 19.04367, time: 2.20
690, train error: 19.70691, time: 2.20
*700, train error: 19.33689, time: 2.19
700, train error: 19.07333, time: 2.17
710, train error: 19.15052, time: 2.19
